2022-03-30T16:34:48.534929106Z stdout: CANARY ::> Connection Establish -> Time = 0.009201288223266602.s
2022-03-30T16:36:34.867350284Z stdout: CANARY ::> Query 4 completed -> Time = 106.34176397323608.s
2022-03-30T16:36:34.868852438Z stdout: CANARY ::> Query 5 completed -> Time = 106.34320187568665.s
2022-03-30T16:36:36.893527513Z stdout: CANARY ::> Query 6 completed -> Time = 108.36788320541382.s
2022-03-30T16:36:36.89354875Z  stdout: CANARY ::> State 27 collection -> Time = 108.36792874336243.s
2022-03-30T16:36:36.893552177Z stdout: CANARY ::> Iteration 28 starting -> Time = 108.36793684959412.s
2022-03-30T16:36:37.320064385Z stdout: CANARY ::> Query 1 completed -> Time = 108.79440927505493.s
2022-03-30T16:36:37.79881546Z  stdout: CANARY ::> Query 2 completed -> Time = 109.2730963230133.s
2022-03-30T16:36:37.834584361Z stdout: CANARY ::> Query 3 completed -> Time = 109.30886602401733.s
2022-03-30T16:36:38.80490452Z  stdout: CANARY ::> Query 4 completed -> Time = 110.27919101715088.s
2022-03-30T16:36:38.805500702Z stdout: CANARY ::> Query 5 completed -> Time = 110.27997708320618.s
2022-03-30T16:36:40.823055994Z stdout: CANARY ::> Query 6 completed -> Time = 112.29735779762268.s
2022-03-30T16:36:40.823081572Z stdout: CANARY ::> State 28 collection -> Time = 112.29740357398987.s
2022-03-30T16:36:40.82308487Z  stdout: CANARY ::> Iteration 29 starting -> Time = 112.29741144180298.s
2022-03-30T16:36:41.252653403Z stdout: CANARY ::> Query 1 completed -> Time = 112.72697067260742.s
2022-03-30T16:36:41.739950237Z stdout: CANARY ::> Query 2 completed -> Time = 113.21428179740906.s
2022-03-30T16:36:41.777120217Z stdout: CANARY ::> Query 3 completed -> Time = 113.25142884254456.s
2022-03-30T16:36:42.690074242Z stdout: CANARY ::> Query 4 completed -> Time = 114.16434812545776.s
2022-03-30T16:36:42.691281128Z stdout: CANARY ::> Query 5 completed -> Time = 114.16569590568542.s
2022-03-30T16:36:44.661938377Z stdout: CANARY ::> Query 6 completed -> Time = 116.13625621795654.s
2022-03-30T16:36:44.661954792Z stdout: CANARY ::> State 29 collection -> Time = 116.13629674911499.s
2022-03-30T16:36:44.661957499Z stdout: CANARY ::> Iteration 30 starting -> Time = 116.13630247116089.s
2022-03-30T16:36:45.087717432Z stdout: CANARY ::> Query 1 completed -> Time = 116.56200122833252.s
2022-03-30T16:36:45.565242165Z stdout: CANARY ::> Query 2 completed -> Time = 117.03950428962708.s
2022-03-30T16:36:45.60124162Z  stdout: CANARY ::> Query 3 completed -> Time = 117.07558608055115.s
2022-03-30T16:36:46.560615468Z stdout: CANARY ::> Query 4 completed -> Time = 118.0348687171936.s
2022-03-30T16:36:46.561127261Z stdout: CANARY ::> Query 5 completed -> Time = 118.03561091423035.s
2022-03-30T16:36:48.575096817Z stdout: CANARY ::> Query 6 completed -> Time = 120.04948854446411.s
2022-03-30T16:36:48.575114235Z stdout: CANARY ::> State 30 collection -> Time = 120.04953289031982.s
2022-03-30T16:36:48.575117095Z stdout: CANARY ::> Iteration 31 starting -> Time = 120.04954075813293.s
2022-03-30T16:36:48.999977163Z stdout: CANARY ::> Query 1 completed -> Time = 120.4743082523346.s
2022-03-30T16:36:49.47676396Z  stdout: CANARY ::> Query 2 completed -> Time = 120.95107197761536.s
2022-03-30T16:36:49.513191014Z stdout: CANARY ::> Query 3 completed -> Time = 120.98762106895447.s
2022-03-30T16:36:50.428614026Z stdout: CANARY ::> Query 4 completed -> Time = 121.90297555923462.s
2022-03-30T16:36:50.429680282Z stdout: CANARY ::> Query 5 completed -> Time = 121.9041657447815.s
2022-03-30T16:36:52.460275697Z stdout: CANARY ::> Query 6 completed -> Time = 123.93454504013062.s
2022-03-30T16:36:52.460294563Z stdout: CANARY ::> State 31 collection -> Time = 123.93459105491638.s
2022-03-30T16:36:52.460297682Z stdout: CANARY ::> Iteration 32 starting -> Time = 123.93459892272949.s
2022-03-30T16:36:52.889498143Z stdout: CANARY ::> Query 1 completed -> Time = 124.36373114585876.s
2022-03-30T16:36:53.364887089Z stdout: CANARY ::> Query 2 completed -> Time = 124.8391547203064.s
2022-03-30T16:36:53.401689014Z stdout: CANARY ::> Query 3 completed -> Time = 124.87596225738525.s
2022-03-30T16:36:54.358138999Z stdout: CANARY ::> Query 4 completed -> Time = 125.83243489265442.s
2022-03-30T16:36:54.358646403Z stdout: CANARY ::> Query 5 completed -> Time = 125.83312821388245.s
2022-03-30T16:36:56.381338613Z stdout: CANARY ::> Query 6 completed -> Time = 127.8556478023529.s
